time,current_response,desired_reponse,error,pwm_val
7.42,-0.09,90,90.09,40
14.84,-0.09,90,90.09,40
22.25,-0.09,90,90.09,40
29.66,-0.09,90,90.09,40
37.08,0.05,90,89.95,40
44.5,0.87,90,89.13,40
51.92,1.66,90,88.34,40
59.35,2.74,90,87.26,40
66.77,3.98,90,86.02,40
74.17,5.22,90,84.78,40
81.58,6.61,90,83.39,40
88.99,7.88,90,82.12,40
96.42,9.23,90,80.77,40
103.87,10.74,90,79.26,40
111.29,12.25,90,77.75,40
118.77,13.75,90,76.25,40
126.23,15.16,90,74.84,40
133.7,16.63,90,73.37,40
141.19,18.03,90,71.97,40
148.79,19.4,90,70.6,40
156.41,20.78,90,69.22,40
164,22.14,90,67.86,40
178,23.39,90,66.61,40
193.62,24.79,90,65.21,40
207.61,26.11,90,63.89,40
221.58,27.47,90,62.53,40
235.54,28.91,90,61.09,40
249.52,30.24,90,59.76,40
263.45,31.66,90,58.34,40
277.38,32.98,90,57.02,40
291.34,34.24,90,55.76,40
305.35,35.57,90,54.43,40
319.27,36.89,90,53.11,40
333.26,38.2,90,51.8,40
347.27,39.55,90,50.45,40
361.31,40.81,90,49.19,40
375.28,41.94,90,48.06,40
389.33,43.07,90,46.93,40
403.41,44.17,90,45.83,40
417.47,44.91,90,45.09,40
431.51,45.55,90,44.45,40
445.6,46.33,90,43.67,40
459.66,47.3,90,42.7,40
473.73,48.24,90,41.76,40
487.78,48.91,90,41.09,40
501.81,49.83,90,40.17,40
515.88,50.72,90,39.28,40
529.96,51.56,90,38.44,40
541.11,52.37,90,37.63,40
552.17,53.28,90,36.72,40
563.15,54.24,90,35.76,40
574.18,55.06,90,34.94,40
585.23,55.9,90,34.1,40
596.22,56.81,90,33.19,40
607.19,57.77,90,32.23,40
618.09,58.67,90,31.33,40
629.14,59.64,90,30.36,40
640.02,60.61,90,29.39,40
650.88,61.52,90,28.48,40
661.86,62.54,90,27.46,40
672.71,63.56,90,26.44,40
683.64,64.83,90,25.17,40
694.46,66.18,90,23.82,40
705.27,67.5,90,22.5,40
716.08,68.9,90,21.1,40
726.95,70.36,90,19.64,40
737.73,71.71,90,18.29,40
748.54,73.1,90,16.9,40
759.34,74.35,90,15.65,40
770.18,75.71,90,14.29,40
777.87,77.15,90,12.85,40
788.67,78.53,90,11.47,40
799.5,79.92,90,10.08,40
807.16,81.32,90,8.68,40
814.78,82.54,90,7.46,40
822.06,83.77,90,6.23,40
829.76,84.97,90,5.03,40
837.42,86.29,90,3.71,40
845.06,87.57,90,2.43,40
852.7,88.8,90,1.2,40
