time,current_response,desired_reponse,error,pwm_val
11.33,-3.45,90,93.45,70
22.64,-3.45,90,93.45,70
34.02,-3.45,90,93.45,70
45.41,-3.38,90,93.38,70
56.73,-2.3,90,92.3,70
68.03,-0.12,90,90.12,70
79.38,2.31,90,87.69,70
89.02,5,90,85,70
100.37,7.81,90,82.19,70
111.77,10.65,90,79.35,70
123.19,13.98,90,76.02,70
134.56,17.27,90,72.73,70
146.05,20.63,90,69.37,70
157.54,24.12,90,65.88,70
169.1,27.64,90,62.36,70
180.66,31.14,90,58.86,70
192.34,35,90,55,70
207.42,38.72,90,51.28,70
222.48,42.59,90,47.41,70
237.58,46.32,90,43.68,70
246.98,50.02,90,39.98,70
256.37,53.77,90,36.23,70
265.76,57.29,90,32.71,70
275.16,60.91,90,29.09,69
284.55,64.48,90,25.52,65
293.94,68.1,90,21.9,61
303.33,71.47,90,18.53,58
312.72,74.98,90,15.02,55
322.12,78.28,90,11.72,51
330.47,81.37,90,8.63,48
338.82,84.32,90,5.68,45
347.17,86.95,90,3.05,43
355.52,89.28,90,0.72,40
364.92,91.42,90,-1.42,41
374.31,92.79,90,-2.79,42
383.7,92.11,90,-2.11,42
393.09,90.79,90,-0.79,40
401.44,89.44,90,0.56,40
409.8,88.76,90,1.24,41
418.15,89.57,90,0.43,40
427.54,90.82,90,-0.82,40
436.93,91.4,90,-1.4,41
446.32,90.74,90,-0.74,40
454.68,89.48,90,0.52,40
463.03,88.92,90,1.08,41
471.38,89.63,90,0.37,40
480.77,90.96,90,-0.96,40
490.16,91.45,90,-1.45,41
499.56,90.46,90,-0.46,40
507.91,89.21,90,0.79,40
516.26,88.73,90,1.27,41
524.61,89.26,90,0.74,40
534,90.58,90,-0.58,40
543.4,91.1,90,-1.1,41
552.79,90.53,90,-0.53,40
561.14,89.06,90,0.94,40
569.49,88.45,90,1.55,41
577.84,89.26,90,0.74,40
587.24,90.32,90,-0.32,40
596.63,90.69,90,-0.69,40
