time,current_response,desired_reponse,error,pwm_val
10.7,-2.14,90,92.14,70
19.64,-2.14,90,92.14,70
28.57,-2.14,90,92.14,70
37.96,-2.14,90,92.14,70
47.35,-0.84,90,90.84,70
58.1,1.33,90,88.67,70
68.81,3.81,90,86.19,70
78.2,6.56,90,83.44,70
87.59,9.28,90,80.72,70
96.98,12.31,90,77.69,70
107.71,15.45,90,74.55,70
118.47,18.83,90,71.17,70
129.22,22.25,90,67.75,70
140.08,25.87,90,64.13,70
150.93,29.47,90,60.53,70
161.94,33.18,90,56.82,70
173.46,37.01,90,52.99,70
185.2,40.86,90,49.14,70
199.72,44.72,90,45.28,70
214.19,48.6,90,41.4,70
228.68,52.63,90,37.37,70
238.07,56.22,90,33.78,70
247.46,59.88,90,30.12,70
256.85,63.66,90,26.34,70
266.24,67.13,90,22.87,70
275.64,70.95,90,19.05,70
285.03,74.61,90,15.39,70
294.42,78.45,90,11.55,63
302.77,82.03,90,7.97,55
311.12,85.35,90,4.65,49
319.48,88.42,90,1.58,43
328.86,91.01,90,-1.01,42
338.26,92.86,90,-2.86,45
347.65,92.34,90,-2.34,44
357.04,91.16,90,-1.16,42
365.39,89.76,90,0.24,40
373.74,88.93,90,1.07,42
