time,current_response,desired_reponse,error,pwm_val,dt,P,D,Corr
14.44,-0.12,90,90.12,70,13,90.12,693.26,783.39
28.73,-0.12,90,90.12,70,16,90.12,0,90.12
59.97,0.56,90,89.44,70,33,89.44,-2.09,87.35
91.21,3.79,90,86.21,70,49,86.21,-6.59,79.62
122.44,7.86,90,82.14,70,50,82.14,-8.13,74.01
153.67,12.32,90,77.68,70,51,77.68,-8.76,68.92
184.9,17.46,90,72.54,70,52,72.54,-9.88,62.65
217.18,22.93,90,67.07,70,53,67.07,-10.32,56.75
249.45,28.67,90,61.33,70,52,61.33,-11.04,50.29
281.72,34.46,90,55.54,70,49,55.54,-11.8,43.74
313.99,40.65,90,49.35,70,52,49.35,-11.91,37.44
346.27,46.99,90,43.01,70,52,43.01,-12.19,30.83
378.54,53.38,90,36.62,64,54,36.62,-11.84,24.78
410.82,59.81,90,30.19,58,53,30.19,-12.13,18.06
443.09,65.53,90,24.47,53,52,24.47,-11,13.46
473.29,70.63,90,19.37,49,53,19.37,-9.61,9.76
503.48,74.95,90,15.05,46,52,15.05,-8.32,6.73
533.67,79.07,90,10.93,42,51,10.93,-8.08,2.85
561.78,82.56,90,7.44,40,50,7.44,-6.98,0.46
590.93,85.43,90,4.57,40,49,4.57,-5.85,-1.27
620.09,88.02,90,1.98,40,50,1.98,-5.19,-3.21
651.32,90.44,90,-0.44,40,50,-0.44,-4.84,-5.29
682.55,92.05,90,-2.05,40,52,-2.05,-3.08,-5.13
709.62,89.78,90,0.22,44,52,0.22,4.36,4.59
736.7,88.9,90,1.1,42,48,1.1,1.83,2.93
767.94,91.4,90,-1.4,40,48,-1.4,-5.2,-6.6
799.17,92.47,90,-2.47,40,51,-2.47,-2.1,-4.57
828.33,90.26,90,-0.26,43,53,-0.26,4.16,3.9
855.41,88.1,90,1.9,46,50,1.9,4.33,6.23
882.48,87.29,90,2.71,44,48,2.71,1.68,4.4
911.63,89.46,90,0.54,40,47,0.54,-4.62,-4.07
942.86,91.67,90,-1.67,40,50,-1.67,-4.42,-6.09
974.1,92.89,90,-2.89,40,52,-2.89,-2.34,-5.23
1003.26,90.69,90,-0.69,43,53,-0.69,4.15,3.46
1030.33,88.57,90,1.43,45,50,1.43,4.23,5.66
1057.4,87.84,90,2.16,43,49,2.16,1.49,3.65
1088.64,90.22,90,-0.22,40,49,-0.22,-4.86,-5.09
1119.87,91.13,90,-1.13,40,53,-1.13,-1.71,-2.84
1146.94,89.28,90,0.72,44,53,0.72,3.48,4.2
1174.02,88.81,90,1.19,42,49,1.19,0.97,2.16
1205.25,91.38,90,-1.38,40,49,-1.38,-5.24,-6.62
1236.48,92.16,90,-2.16,40,53,-2.16,-1.47,-3.63
