time,current_response
16.36,-1.89
32.75,-1.89
49.27,-1.76
65.64,-1.67
75.04,-1.61
91.41,-1.56
107.76,-1.56
124.1,-1.63
140.42,-1.63
156.66,-1.54
172.92,-1.54
189.13,-1.54
205.48,-1.54
221.62,-1.54
237.9,-1.61
254.12,-1.61
270.2,-1.61
286.33,-1.48
302.31,-1.31
318.23,-1.14
334.11,-1.06
350.09,-0.91
366.02,-0.74
381.79,-0.56
397.57,-0.43
413.26,-0.36
428.92,-0.27
444.54,-0.14
460.17,-0.01
475.67,0.08
491.26,0.15
506.7,0.26
522.16,0.39
537.56,0.59
552.88,0.71
568.18,0.82
583.55,0.96
598.78,1.14
613.98,1.2
629.13,1.39
644.35,1.61
659.51,1.75
674.47,1.86
689.52,1.86
704.44,1.86
719.32,1.92
734.15,2.06
749.06,2.25
763.82,2.38
778.64,2.53
793.42,2.68
808.11,2.87
822.89,3.04
837.51,3.15
852.16,3.22
866.73,3.33
881.32,3.48
895.78,3.63
910.23,3.63
924.58,3.63
939.05,3.63
953.31,3.74
967.52,3.89
981.67,4.04
995.75,4.12
1009.85,4.23
1023.88,4.29
1037.9,4.43
1052.04,4.62
1066.07,4.87
1080.06,5.11
1094.05,5.18
1108.01,5.25
1121.98,5.32
1135.89,5.45
1149.64,5.66
1163.42,5.83
1177.11,5.9
1190.71,6
1204.32,6.18
1218.01,6.37
1231.64,6.52
1245.28,6.7
1258.8,6.87
1272.28,7.01
1285.82,7.14
1299.18,7.26
1312.46,7.34
1325.71,7.34
1338.99,7.45
1352.21,7.58
1365.41,7.72
1378.66,7.83
1391.9,7.94
1405.03,8.03
1418.22,8.11
1431.29,8.34
1444.12,8.57
1456.79,8.76
1469.74,8.93
1482.6,9.05
1495.55,9.22
1508.06,9.39
1520.56,9.58
1533.18,9.74
1545.73,9.9
1558.04,10.06
1570.3,10.22
1582.83,10.39
1595.39,10.54
1607.5,10.73
1619.98,10.97
1632.36,11.11
1644.38,11.19
1656.67,11.33
1668.88,11.41
1680.92,11.41
1693.01,11.52
1705.07,11.64
1717.12,11.83
1729.18,12.02
1741.14,12.16
1752.89,12.36
1764.69,12.56
1776.27,12.78
