time,current_response
16.76,0.14
33.68,0.14
50.55,0.14
67.34,0.01
84.17,-0.08
100.83,-0.15
117.69,-0.22
134.45,-0.45
151.08,-0.5
167.84,-0.45
184.43,-0.45
201.12,-0.39
217.65,-0.39
234.1,-0.39
250.68,-0.39
267.09,-0.39
283.74,-0.39
300.2,-0.39
316.46,-0.44
332.67,-0.52
348.92,-0.52
365.09,-0.52
381.37,-0.52
397.46,-0.52
413.53,-0.62
429.54,-0.62
445.53,-0.54
461.48,-0.45
477.54,-0.36
493.54,-0.25
509.37,-0.25
525.16,-0.25
540.95,-0.25
556.71,-0.25
572.43,-0.25
588.1,-0.25
603.84,-0.25
619.49,-0.25
635.05,-0.33
650.59,-0.46
666.14,-0.46
681.67,-0.4
697.04,-0.28
712.42,-0.15
727.66,-0.15
742.98,-0.15
758.17,-0.15
773.29,-0.15
788.34,-0.23
803.36,-0.39
818.3,-0.58
833.21,-0.58
848.07,-0.58
862.89,-0.58
877.7,-0.64
892.53,-0.64
907.36,-0.49
922.08,-0.33
936.74,-0.22
951.4,-0.22
966.08,-0.22
980.73,-0.22
995.53,-0.13
1010.38,-0.13
1025.2,-0.24
1039.95,-0.35
1054.63,-0.42
1069.2,-0.52
1083.22,-0.57
1097.19,-0.43
1111.05,-0.23
1124.92,-0.05
1138.75,0
1152.47,-0.12
1166.17,-0.27
1179.83,-0.27
1193.88,-0.22
1207.51,-0.22
1221.55,-0.37
1235.37,-0.5
1249.12,-0.5
1262.8,-0.5
1276.5,-0.4
1290.14,-0.29
1303.63,-0.29
1317.27,-0.29
1330.87,-0.29
1344.41,-0.29
1357.54,-0.36
1370.91,-0.36
1384.17,-0.31
1397.32,-0.31
1410.26,-0.31
1423.18,-0.31
1436.09,-0.31
1448.9,-0.31
1462.03,-0.31
1475.21,-0.31
1488.32,-0.31
1501.48,-0.21
1514.53,-0.14
1527.61,-0.14
1540.26,-0.23
1552.8,-0.34
1565.32,-0.44
1577.72,-0.53
1590.05,-0.53
1602.29,-0.43
1614.62,-0.37
1627.31,-0.37
1639.98,-0.47
1652.57,-0.62
1664.9,-0.48
1677.11,-0.22
1689.3,-0.02
1701.68,-0.02
1714,-0.02
1726.2,-0.02
1738.34,-0.08
1750.36,-0.23
1762.31,-0.34
